;OpisNalazista;OznKoord;NazKlase;Nesigurnost;CELLCODE;EOFORIGIN;NOFORIGIN;Bio_1;Bio_2;Bio_3;Bio_4;Bio_5;Bio_6;Bio_7;Bio_8;Bio_9;Bio_10;Bio_11;Bio_12;Bio_13;Bio_14;Bio_15;Bio_16;Bio_17;Bio_18;Bio_19;ID;GRIDCODE;COUNT;HLSHD2;EKSPOZICIJ;NDM__M_;NAGIB_TERE;tip_opazanja
11;Planinica, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116736;Quercus petraea (Mattuschka) Liebl.;25.0000;1kmE4795N2581;4.79500000000e+006;2.58100000000e+006;7,5;9;30;72,28;23,1;-6,3;29,4;16,6;-0,7;16,6;-2,1;1033;119;53;24;340;169;340;185;2414;2325;1;205;155;552;9;1
12;Planinica, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116738;Quercus petraea (Mattuschka) Liebl.;25.0000;1kmE4795N2581;4.79500000000e+006;2.58100000000e+006;7,5;9;30;72,28;23,1;-6,3;29,4;16,6;-0,7;16,6;-2,1;1033;119;53;24;340;169;340;185;2415;2326;1;200;158;511;7;1
13;Rakita, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116749;Quercus petraea (Mattuschka) Liebl.;25.0000;1kmE4794N2580;4.79400000000e+006;2.58000000000e+006;7,8;9;30;72,56;23,4;-6,2;29,6;16,9;-0,5;16,9;-1,8;1023;118;52;25;337;166;337;182;2533;2442;1;202;182;529;7;1
14;Degačica, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116760;Quercus petraea (Mattuschka) Liebl.;25.0000;1kmE4795N2580;4.79500000000e+006;2.58000000000e+006;8,4;9,2;30;73,27;24,2;-5,7;29,9;17,6;0,1;17,6;-1,3;993;114;50;25;328;160;328;176;2535;2444;1;192;142;498;5;1
15;Donja Selnica, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116779;Quercus petraea (Mattuschka) Liebl.;25.0000;1kmE4796N2576;4.79600000000e+006;2.57600000000e+006;10,1;9,5;31;74,41;26;-4,4;30,4;19,4;1,7;19,4;0,2;920;103;45;25;300;146;300;161;3020;2920;1;181;119;225;1;1
16;Donja Selnica, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116786;Quercus petraea (Mattuschka) Liebl.;25.0000;1kmE4796N2576;4.79600000000e+006;2.57600000000e+006;10,1;9,5;31;74,41;26;-4,4;30,4;19,4;1,7;19,4;0,2;920;103;45;25;300;146;300;161;3020;2920;1;181;119;225;1;1
17;Donja Selnica, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116787;Quercus petraea (Mattuschka) Liebl.;25.0000;1kmE4796N2576;4.79600000000e+006;2.57600000000e+006;10,1;9,5;31;74,41;26;-4,4;30,4;19,4;1,7;19,4;0,2;920;103;45;25;300;146;300;161;3020;2920;1;181;119;225;1;1
18;Gora, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116823;Quercus petraea (Mattuschka) Liebl.;25.0000;1kmE4794N2582;4.79400000000e+006;2.58200000000e+006;5,7;8,5;29;70,32;20,9;-7,5;28,4;14,5;-2,3;14,5;-3,6;1106;129;59;24;363;186;363;203;2296;2212;1;192;151;1008;4;1
19;Planinica, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116837;Quercus petraea (Mattuschka) Liebl.;25.0000;1kmE4795N2581;4.79500000000e+006;2.58100000000e+006;7,5;9;30;72,28;23,1;-6,3;29,4;16,6;-0,7;16,6;-2,1;1033;119;53;24;340;169;340;185;2414;2325;1;205;155;552;9;1
20;Planinica, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116837;Quercus petraea (Mattuschka) Liebl.;25.0000;1kmE4795N2581;4.79500000000e+006;2.58100000000e+006;7,5;9;30;72,28;23,1;-6,3;29,4;16,6;-0,7;16,6;-2,1;1033;119;53;24;340;169;340;185;2414;2325;1;205;155;552;9;1
21;Planinica, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116841;Quercus petraea (Mattuschka) Liebl.;25.0000;1kmE4795N2581;4.79500000000e+006;2.58100000000e+006;7,5;9;30;72,28;23,1;-6,3;29,4;16,6;-0,7;16,6;-2,1;1033;119;53;24;340;169;340;185;2414;2325;1;205;155;552;9;1
22;Drenovec, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116877;Quercus petraea (Mattuschka) Liebl.;25.0000;1kmE4795N2579;4.79500000000e+006;2.57900000000e+006;8,9;9,2;30;73,76;24,7;-5,4;30,1;18,1;0,5;18,1;-0,9;975;111;49;25;320;157;320;173;2534;2443;1;195;170;501;5;1
23;Drenovec, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116884;Quercus petraea (Mattuschka) Liebl.;25.0000;1kmE4795N2580;4.79500000000e+006;2.58000000000e+006;8,4;9,2;30;73,27;24,2;-5,7;29,9;17,6;0,1;17,6;-1,3;993;114;50;25;328;160;328;176;2534;2443;1;195;170;501;5;1
24;Drenovec, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116890;Quercus petraea (Mattuschka) Liebl.;25.0000;1kmE4794N2580;4.79400000000e+006;2.58000000000e+006;7,8;9;30;72,56;23,4;-6,2;29,6;16,9;-0,5;16,9;-1,8;1023;118;52;25;337;166;337;182;2533;2442;1;202;182;529;7;1
25;Drenovec, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116898;Quercus petraea (Mattuschka) Liebl.;25.0000;1kmE4794N2580;4.79400000000e+006;2.58000000000e+006;7,8;9;30;72,56;23,4;-6,2;29,6;16,9;-0,5;16,9;-1,8;1023;118;52;25;337;166;337;182;2413;2324;1;214;169;627;12;1
26;Drenovec, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116899;Quercus petraea (Mattuschka) Liebl.;25.0000;1kmE4794N2581;4.79400000000e+006;2.58100000000e+006;7;8,8;30;72,19;22,6;-6,7;29,3;16,1;-1,2;16,1;-2,5;1054;122;55;25;347;174;347;190;2413;2324;1;214;169;627;12;1
27;Drenovec, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116902;Quercus petraea (Mattuschka) Liebl.;25.0000;1kmE4794N2580;4.79400000000e+006;2.58000000000e+006;7,8;9;30;72,56;23,4;-6,2;29,6;16,9;-0,5;16,9;-1,8;1023;118;52;25;337;166;337;182;2414;2325;1;205;155;552;9;1
28;Drenovec, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116903;Fraxinus ornus L.;25.0000;1kmE4794N2580;4.79400000000e+006;2.58000000000e+006;7,8;9;30;72,56;23,4;-6,2;29,6;16,9;-0,5;16,9;-1,8;1023;118;52;25;337;166;337;182;2413;2324;1;214;169;627;12;1
29;Drenovec, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116903;Quercus petraea (Mattuschka) Liebl.;25.0000;1kmE4794N2580;4.79400000000e+006;2.58000000000e+006;7,8;9;30;72,56;23,4;-6,2;29,6;16,9;-0,5;16,9;-1,8;1023;118;52;25;337;166;337;182;2413;2324;1;214;169;627;12;1
30;Gora, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116925;Quercus petraea (Mattuschka) Liebl.;25.0000;1kmE4793N2581;4.79300000000e+006;2.58100000000e+006;6,8;8,8;30;71,53;22,3;-6,8;29,1;15,8;-1,3;15,8;-2,6;1061;123;55;24;349;175;349;192;2412;2323;1;215;182;649;12;1
31;Gora, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116929;Fraxinus ornus L.;25.0000;1kmE4793N2581;4.79300000000e+006;2.58100000000e+006;6,8;8,8;30;71,53;22,3;-6,8;29,1;15,8;-1,3;15,8;-2,6;1061;123;55;24;349;175;349;192;2413;2324;1;214;169;627;12;1
32;Planinica, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116939;Fraxinus ornus L.;25.0000;1kmE4795N2581;4.79500000000e+006;2.58100000000e+006;7,5;9;30;72,28;23,1;-6,3;29,4;16,6;-0,7;16,6;-2,1;1033;119;53;24;340;169;340;185;2414;2325;1;205;155;552;9;1
33;Planinica, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116951;Quercus petraea (Mattuschka) Liebl.;25.0000;1kmE4795N2582;4.79500000000e+006;2.58200000000e+006;7,3;8,9;30;72,11;22,8;-6,5;29,3;16,3;-0,9;16,3;-2,3;1041;121;54;25;344;170;344;187;2297;2213;1;193;125;782;8;1
34;Planinica, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116951;Fraxinus ornus L.;25.0000;1kmE4795N2582;4.79500000000e+006;2.58200000000e+006;7,3;8,9;30;72,11;22,8;-6,5;29,3;16,3;-0,9;16,3;-2,3;1041;121;54;25;344;170;344;187;2297;2213;1;193;125;782;8;1
35;Planinica, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116978;Fraxinus ornus L.;25.0000;1kmE4794N2582;4.79400000000e+006;2.58200000000e+006;5,7;8,5;29;70,32;20,9;-7,5;28,4;14,5;-2,3;14,5;-3,6;1106;129;59;24;363;186;363;203;2297;2213;1;193;125;782;8;1
36;Sovjak, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116999;Quercus petraea (Mattuschka) Liebl.;25.0000;1kmE4797N2577;4.79700000000e+006;2.57700000000e+006;10,1;9,5;31;74,36;26;-4,4;30,4;19,4;1,7;19,4;0,2;920;103;45;25;301;146;301;161;2900;2801;1;183;170;191;0;1
37;Sovjak, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.117000;Quercus petraea (Mattuschka) Liebl.;25.0000;1kmE4797N2577;4.79700000000e+006;2.57700000000e+006;10,1;9,5;31;74,36;26;-4,4;30,4;19,4;1,7;19,4;0,2;920;103;45;25;301;146;301;161;2900;2801;1;183;170;191;0;1
38;Sovjak, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.117003;Quercus petraea (Mattuschka) Liebl.;25.0000;1kmE4797N2577;4.79700000000e+006;2.57700000000e+006;10,1;9,5;31;74,36;26;-4,4;30,4;19,4;1,7;19,4;0,2;920;103;45;25;301;146;301;161;2900;2801;1;183;170;191;0;1
39;Sovjak, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.117006;Quercus petraea (Mattuschka) Liebl.;25.0000;1kmE4797N2577;4.79700000000e+006;2.57700000000e+006;10,1;9,5;31;74,36;26;-4,4;30,4;19,4;1,7;19,4;0,2;920;103;45;25;301;146;301;161;2900;2801;1;183;170;191;0;1
40;Sovjak, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.117008;Quercus petraea (Mattuschka) Liebl.;25.0000;1kmE4797N2577;4.79700000000e+006;2.57700000000e+006;10,1;9,5;31;74,36;26;-4,4;30,4;19,4;1,7;19,4;0,2;920;103;45;25;301;146;301;161;2900;2801;1;183;170;191;0;1
41;Velika risa, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.117015;Quercus petraea (Mattuschka) Liebl.;25.0000;1kmE4795N2580;4.79500000000e+006;2.58000000000e+006;8,4;9,2;30;73,27;24,2;-5,7;29,9;17,6;0,1;17,6;-1,3;993;114;50;25;328;160;328;176;2534;2443;1;195;170;501;5;1
42;Degačica, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.117029;Quercus petraea (Mattuschka) Liebl.;25.0000;1kmE4795N2580;4.79500000000e+006;2.58000000000e+006;8,4;9,2;30;73,27;24,2;-5,7;29,9;17,6;0,1;17,6;-1,3;993;114;50;25;328;160;328;176;2534;2443;1;195;170;501;5;1
43;Drenovec, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.117051;Fraxinus ornus L.;25.0000;1kmE4795N2581;4.79500000000e+006;2.58100000000e+006;7,5;9;30;72,28;23,1;-6,3;29,4;16,6;-0,7;16,6;-2,1;1033;119;53;24;340;169;340;185;2414;2325;1;205;155;552;9;1
44;Drenovec, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.117051;Quercus petraea (Mattuschka) Liebl.;25.0000;1kmE4795N2581;4.79500000000e+006;2.58100000000e+006;7,5;9;30;72,28;23,1;-6,3;29,4;16,6;-0,7;16,6;-2,1;1033;119;53;24;340;169;340;185;2414;2325;1;205;155;552;9;1
45;Planinica, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.117082;Quercus petraea (Mattuschka) Liebl.;25.0000;1kmE4794N2581;4.79400000000e+006;2.58100000000e+006;7;8,8;30;72,19;22,6;-6,7;29,3;16,1;-1,2;16,1;-2,5;1054;122;55;25;347;174;347;190;2414;2325;1;205;155;552;9;1
46;Planinica, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.117083;Quercus petraea (Mattuschka) Liebl.;25.0000;1kmE4795N2581;4.79500000000e+006;2.58100000000e+006;7,5;9;30;72,28;23,1;-6,3;29,4;16,6;-0,7;16,6;-2,1;1033;119;53;24;340;169;340;185;2414;2325;1;205;155;552;9;1
47;Otok Cres, sjeveroistočni dio, biljke su sabiranu na raznim mjestima unutar polja MTB 0952/132, uz cestu Križić - Beli, uz cestu Križić - Porozina, na putu prema Sisu (Sis).;0952.132;Fraxinus ornus L.;NULL;1kmE4664N2449;4.66400000000e+006;2.44900000000e+006;11,3;7;28;63,03;25,1;0,2;24,9;8,1;19,5;19,5;3,5;1286;152;78;22;429;259;259;327;35897;31567;1;198;120;509;5;1
48;Projekt Očuvanje krških ekoloških sustava (KEC). Kartiranje flore NP Plitvice, Nalazište: Rastovača, zapadne padine, uz rijeku Koranu (rijeka Korana), Nmv.: 580m, Terenska opažanja: Z. Stančić, Dta.:22.04.2005.;1059.432;Fraxinus ornus L.;NULL;1kmE4764N2439;4.76400000000e+006;2.43900000000e+006;9,3;9;31;68,58;24,8;-3,4;28,2;5,4;17,5;17,9;0,3;1250;148;79;21;422;258;259;324;38264;33716;1;185;121;408;3;1
49;Projekt Očuvanje krških ekoloških sustava (KEC). Kartiranje flore NP Plitvice, Nalazište: Sastavci, južno od slapa Plitvice u Koranu (potok Plitvica, rijeka Korana), Nmv.: 570m, Terenska opažanja: Z. Stančić, Dta.:13.05.2005.;1059.434;Fraxinus ornus L.;NULL;1kmE4764N2438;4.76400000000e+006;2.43800000000e+006;9,1;8,9;31;68,54;24,6;-3,6;28,2;5,2;17,2;17,7;0,1;1253;148;79;21;423;259;260;326;38473;33921;1;177;319;506;1;1
50;Projekt Očuvanje krških ekoloških sustava (KEC). Kartiranje flore NP Plitvička jezera;1059.441;Quercus petraea (Mattuschka) Liebl.;NULL;1kmE4765N2439;4.76500000000e+006;2.43900000000e+006;8,9;8,8;31;68,48;24,3;-3,7;28;4,9;17;17,5;-0,1;1260;148;81;21;423;262;265;326;38266;33718;1;177;292;574;2;1
51;Projekt Očuvanje krških ekoloških sustava (KEC). Kartiranje flore NP Sjeverni Velebit, Terenska opažanja: J. Topić & Lj. Ilijanić, Datum: 29.07.2005.;1255.441;Fraxinus ornus L.;NULL;1kmE4714N2413;4.71400000000e+006;2.41300000000e+006;5,6;6,8;27;63,83;19,5;-5,5;25;2,4;-1,9;13,8;-2,5;1323;150;91;18;427;289;292;324;40298;35740;1;187;252;1297;14;1
52;Projekt Očuvanje krških ekoloških sustava (KEC). Kartiranje flore NP Sjeverni Velebit, Terenska opažanja: J. Topić & Lj. Ilijanić, Datum: 21.06.2005.;1255.443;Fraxinus ornus L.;NULL;1kmE4714N2412;4.71400000000e+006;2.41200000000e+006;6,6;7;27;64,78;20,7;-4,7;25,4;3,4;14,9;14,9;-1,6;1324;153;87;19;437;280;280;333;40391;35833;1;190;250;1107;16;1
53;Istra. Kotli. Glinovit teren;KOTLI;Quercus petraea (Mattuschka) Liebl.;NULL;1kmE4636N2481;4.63600000000e+006;2.48100000000e+006;13,1;6,7;27;62,75;26,5;2,2;24,3;13,9;5,8;21,2;5,3;1195;137;76;19;382;256;261;286;24034;21347;1;183;204;163;1;1
54;Minđurlovec, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116706;Quercus petraea (Mattuschka) Liebl.;25.0000;1kmE4794N2580;4.79400000000e+006;2.58000000000e+006;7,8;9;30;72,56;23,4;-6,2;29,6;16,9;-0,5;16,9;-1,8;1023;118;52;25;337;166;337;182;2533;2442;1;202;182;529;7;1
55;Minđurlovec, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116707;Quercus petraea (Mattuschka) Liebl.;25.0000;1kmE4794N2580;4.79400000000e+006;2.58000000000e+006;7,8;9;30;72,56;23,4;-6,2;29,6;16,9;-0,5;16,9;-1,8;1023;118;52;25;337;166;337;182;2533;2442;1;202;182;529;7;1
56;Minđurlovec, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116712;Quercus petraea (Mattuschka) Liebl.;25.0000;1kmE4794N2580;4.79400000000e+006;2.58000000000e+006;7,8;9;30;72,56;23,4;-6,2;29,6;16,9;-0,5;16,9;-1,8;1023;118;52;25;337;166;337;182;2533;2442;1;202;182;529;7;1
57;Minđurlovec, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116713;Fraxinus ornus L.;25.0000;1kmE4794N2580;4.79400000000e+006;2.58000000000e+006;7,8;9;30;72,56;23,4;-6,2;29,6;16,9;-0,5;16,9;-1,8;1023;118;52;25;337;166;337;182;2533;2442;1;202;182;529;7;1
58;Rakita, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116740;Quercus petraea (Mattuschka) Liebl.;25.0000;1kmE4794N2579;4.79400000000e+006;2.57900000000e+006;9,1;9,3;30;73,71;24,9;-5,2;30,1;18,3;0,7;18,3;-0,7;972;110;48;25;319;156;319;171;2654;2558;1;198;188;332;6;1
59;Rakita, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116746;Quercus petraea (Mattuschka) Liebl.;25.0000;1kmE4794N2580;4.79400000000e+006;2.58000000000e+006;7,8;9;30;72,56;23,4;-6,2;29,6;16,9;-0,5;16,9;-1,8;1023;118;52;25;337;166;337;182;2533;2442;1;202;182;529;7;1
60;Rakita, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116747;Quercus petraea (Mattuschka) Liebl.;25.0000;1kmE4794N2580;4.79400000000e+006;2.58000000000e+006;7,8;9;30;72,56;23,4;-6,2;29,6;16,9;-0,5;16,9;-1,8;1023;118;52;25;337;166;337;182;2533;2442;1;202;182;529;7;1
61;Velika risa, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116751;Quercus petraea (Mattuschka) Liebl.;25.0000;1kmE4795N2579;4.79500000000e+006;2.57900000000e+006;8,9;9,2;30;73,76;24,7;-5,4;30,1;18,1;0,5;18,1;-0,9;975;111;49;25;320;157;320;173;2534;2443;1;195;170;501;5;1
62;Donja Selnica, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116770;Quercus petraea (Mattuschka) Liebl.;25.0000;1kmE4797N2576;4.79700000000e+006;2.57600000000e+006;10,2;9,6;31;74,32;26,1;-4,4;30,5;19,4;1,8;19,4;0,3;917;103;45;25;299;146;299;161;3021;2921;1;180;102;185;0;1
63;Donja Selnica, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116776;Quercus petraea (Mattuschka) Liebl.;25.0000;1kmE4796N2576;4.79600000000e+006;2.57600000000e+006;10,1;9,5;31;74,41;26;-4,4;30,4;19,4;1,7;19,4;0,2;920;103;45;25;300;146;300;161;3020;2920;1;181;119;225;1;1
64;Donja Selnica, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116778;Quercus petraea (Mattuschka) Liebl.;25.0000;1kmE4796N2576;4.79600000000e+006;2.57600000000e+006;10,1;9,5;31;74,41;26;-4,4;30,4;19,4;1,7;19,4;0,2;920;103;45;25;300;146;300;161;3020;2920;1;181;119;225;1;1
65;Donja Selnica, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116785;Quercus petraea (Mattuschka) Liebl.;25.0000;1kmE4796N2576;4.79600000000e+006;2.57600000000e+006;10,1;9,5;31;74,41;26;-4,4;30,4;19,4;1,7;19,4;0,2;920;103;45;25;300;146;300;161;3020;2920;1;181;119;225;1;1
66;Dupljaka, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116789;Quercus petraea (Mattuschka) Liebl.;25.0000;1kmE4795N2578;4.79500000000e+006;2.57800000000e+006;9,6;9,4;30;74,09;25,6;-4,8;30,4;18,9;1,2;18,9;-0,3;944;107;46;25;310;150;310;165;2778;2680;1;192;169;285;3;1
67;Dupljaka, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116802;Quercus petraea (Mattuschka) Liebl.;25.0000;1kmE4796N2580;4.79600000000e+006;2.58000000000e+006;8,4;9,2;30;73,33;24,2;-5,7;29,9;17,6;0,1;17,6;-1,3;993;114;50;25;328;160;328;176;2535;2444;1;192;142;498;5;1
68;Gora, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116803;Quercus petraea (Mattuschka) Liebl.;25.0000;1kmE4793N2581;4.79300000000e+006;2.58100000000e+006;6,8;8,8;30;71,53;22,3;-6,8;29,1;15,8;-1,3;15,8;-2,6;1061;123;55;24;349;175;349;192;2413;2324;1;214;169;627;12;1
69;Minđurlovec, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116829;Quercus petraea (Mattuschka) Liebl.;25.0000;1kmE4794N2580;4.79400000000e+006;2.58000000000e+006;7,8;9;30;72,56;23,4;-6,2;29,6;16,9;-0,5;16,9;-1,8;1023;118;52;25;337;166;337;182;2413;2324;1;214;169;627;12;1
70;Minđurlovec, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116830;Quercus petraea (Mattuschka) Liebl.;25.0000;1kmE4794N2580;4.79400000000e+006;2.58000000000e+006;7,8;9;30;72,56;23,4;-6,2;29,6;16,9;-0,5;16,9;-1,8;1023;118;52;25;337;166;337;182;2413;2324;1;214;169;627;12;1
71;Planinica, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116835;Quercus petraea (Mattuschka) Liebl.;25.0000;1kmE4795N2581;4.79500000000e+006;2.58100000000e+006;7,5;9;30;72,28;23,1;-6,3;29,4;16,6;-0,7;16,6;-2,1;1033;119;53;24;340;169;340;185;2414;2325;1;205;155;552;9;1
72;Sovjak, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116854;Quercus petraea (Mattuschka) Liebl.;25.0000;1kmE4796N2578;4.79600000000e+006;2.57800000000e+006;9,7;9,4;30;74,21;25,6;-4,8;30,4;18,9;1,3;18,9;-0,2;941;106;46;25;309;149;309;165;2779;2681;1;192;151;228;4;1
73;Vižanovec, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116860;Quercus petraea (Mattuschka) Liebl.;25.0000;1kmE4796N2576;4.79600000000e+006;2.57600000000e+006;10,1;9,5;31;74,41;26;-4,4;30,4;19,4;1,7;19,4;0,2;920;103;45;25;300;146;300;161;3020;2920;1;181;119;225;1;1
74;Drenovec, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116896;Quercus petraea (Mattuschka) Liebl.;25.0000;1kmE4794N2580;4.79400000000e+006;2.58000000000e+006;7,8;9;30;72,56;23,4;-6,2;29,6;16,9;-0,5;16,9;-1,8;1023;118;52;25;337;166;337;182;2534;2443;1;195;170;501;5;1
75;Projekt Očuvanje krških ekoloških sustava (KEC). Kartiranje flore NP Plitvička jezera, Nalazište: Mukinje, uz glavnu cestu,  Terenska opažanja: Z. Stančić, Dta.:22.04.2005.;1159.241;Carpinus betulus L.;NULL;1kmE4766N2434;4.76600000000e+006;2.43400000000e+006;8,3;8,6;30;68,31;23,7;-4,2;27,9;4,5;16,4;16,9;-0,7;1279;150;81;21;431;263;267;333;38852;34300;1;174;345;663;1;1
