IdNalazistaLit;OpisNalazista;OznKoord;NazKlase;OznKoord;HTRS96_X;HTRS96_Y;Nesigurnost
186703;Županja, lijeva obala Save jugozapadno od željezničke stanice, pašnjačka sastojina (Sava, Slavonija);ŽUPANJA;Ambrosia artemisiifolia L.;ŽUPANJA;672673.4926;4994819.5861;NULL
187561;Zagreb, Jarun - lijeva obala Save, suhi travnjak u zoni visokog vodostaja rijeke (Sava, središnja Hrvatska);xy.97605;Ambrosia artemisiifolia L.;xy.97605;455422.8182;5070751.2553;NULL
190906;Područje omeđeno cestom Stara Karlovačka, željezničkom prugom Zagreb-Rijeka i auto-cestom Zagreb-Karlovac,  obuhvaća sela Gornji Stupnik, Donji Stupnik i manje dijelove sela Kalinovica i Lučko te rezervata Stupnički lug (sjeverozapadna Hrvatska);XY.98553;Ambrosia artemisiifolia L.;XY.98553;449553.6157;5067850.9466;NULL
299889;Hrvatska, Dalmacija, Zadar, urbana flora;ZADAR;Ambrosia artemisiifolia L.;ZADAR;397920.0184;4887003.1153;NULL
170896;Zagreb, Savski most, desna obala Save (središnja Hrvatska);ZAGREB;Ambrosia artemisiifolia L.;ZAGREB;459547.1207;5075056.3800;NULL
88190;Zaton - u cvjetnjacima uz cestu i ruderalnoj vegetaciji (sjeverna Dalmacija), UTM WJ65;ZATON.17789;Ambrosia artemisiifolia L.;ZATON.17789;445461.2417;4849864.5228;NULL
163278;Zdihovo (Plešivičko - Okićko područje, sjeverozapadna Hrvatska);ZDIHOVO.17821;Ambrosia artemisiifolia L.;ZDIHOVO.17821;433863.4291;5061364.9351;NULL
174033;Raskršće cesta Bobota - Vera (Baranja, istočna Hrvatska);xy.96552;Ambrosia artemisiifolia L.;xy.96552;685791.3045;5036447.3427;NULL
174191;Raskršće Valpovo - Belišće (Slavonija, istočna Hrvatska);xy.96554;Ambrosia artemisiifolia L.;xy.96554;649093.5044;5060874.7654;NULL
174192;uz raskršće Bolman - Beli Manastir - Baranjsko Petrovo Selo (Baranja, istočna Hrvatska);xy.96556;Ambrosia artemisiifolia L.;xy.96556;656550.0223;5068588.4197;NULL
174566;Kod raskršća Našice - Valpovo (Slavonija);xy.96823;Ambrosia artemisiifolia L.;xy.96823;639861.9369;5047030.5138;NULL
174542;Iza sela Petrijevci, oko 4 km prema Valpovu (Valpovo, Slavonija);xy.96824;Ambrosia artemisiifolia L.;xy.96824;655572.9376;5056730.0712;NULL
176168;Pokupski Gradac (Gradec), lijeva obala Kupe (središnja Hrvatska);xy.96872;Ambrosia artemisiifolia L.;xy.96872;450738.8632;5045526.5827;NULL
170374;Gajna, u selu Oprisavci uz rijeku Savu, dvadesetak kilometara istočno od Slavonskog Broda (Slavonski Brod, Slavonija);xy.96479;Ambrosia artemisiifolia L.;xy.96479;634379.5302;5000832.2696;50.0000
170408;Gajna, u selu Oprisavci uz rijeku Savu, dvadesetak kilometara istočno od Slavonskog Broda (Slavonski Brod, Slavonija);xy.96479;Ambrosia artemisiifolia L.;xy.96479;634379.5302;5000832.2696;50.0000
170370;Gajna, u selu Oprisavci uz rijeku Savu, dvadesetak kilometara istočno od Slavonskog Broda (Slavonski Brod, Slavonija);xy.96480;Ambrosia artemisiifolia L.;xy.96480;634563.8331;5000744.8795;50.0000
170409;Gajna, u selu Oprisavci uz rijeku Savu, dvadesetak kilometara istočno od Slavonskog Broda (Slavonski Brod, Slavonija);xy.96480;Ambrosia artemisiifolia L.;xy.96480;634563.8331;5000744.8795;50.0000
170720;Gajna, u selu Oprisavci uz rijeku Savu, dvadesetak kilometara istočno od Slavonskog Broda (Slavonski Brod, Slavonija);xy.96484;Ambrosia artemisiifolia L.;xy.96484;635054.4411;5001541.4452;50.0000
170721;Gajna, u selu Oprisavci uz rijeku Savu, dvadesetak kilometara istočno od Slavonskog Broda (Slavonski Brod, Slavonija);xy.96486;Ambrosia artemisiifolia L.;xy.96486;635229.6637;5001557.1824;50.0000
169496;Gajna, u selu Oprisavci uz rijeku Savu, dvadesetak kilometara istočno od Slavonskog Broda (Slavonski Brod, Slavonija);xy.96444;Ambrosia artemisiifolia L.;xy.96444;635487.4498;5000528.8026;50.0000
169497;Gajna, u selu Oprisavci uz rijeku Savu, dvadesetak kilometara istočno od Slavonskog Broda (Slavonski Brod, Slavonija);xy.96446;Ambrosia artemisiifolia L.;xy.96446;635883.4113;5000804.3343;50.0000
170323;Gajna, u selu Oprisavci uz rijeku Savu, dvadesetak kilometara istočno od Slavonskog Broda (Slavonski Brod, Slavonija);xy.96472;Ambrosia artemisiifolia L.;xy.96472;635177.4860;5001654.1134;50.0000
170363;Gajna, prijelaz preko nasipa, u selu Oprisavci uz rijeku Savu, dvadesetak kilometara istočno od Slavonskog Broda (Slavonski Brod, Slavonija);xy.96476;Ambrosia artemisiifolia L.;xy.96476;635079.5686;5001817.8680;50.0000
170373;Gajna, u selu Oprisavci uz rijeku Savu, dvadesetak kilometara istočno od Slavonskog Broda (Slavonski Brod, Slavonija);xy.96478;Ambrosia artemisiifolia L.;xy.96478;635064.0752;5001737.1881;50.0000
170407;Gajna, u selu Oprisavci uz rijeku Savu, dvadesetak kilometara istočno od Slavonskog Broda (Slavonski Brod, Slavonija);xy.96478;Ambrosia artemisiifolia L.;xy.96478;635064.0752;5001737.1881;50.0000
169141;Gajna, u selu Oprisavci uz rijeku Savu, dvadesetak kilometara istočno od Slavonskog Broda (Slavonski Brod, Slavonija);xy.96428;Ambrosia artemisiifolia L.;xy.96428;635010.0597;5001735.1928;50.0000
169142;Gajna, u selu Oprisavci uz rijeku Savu, dvadesetak kilometara istočno od Slavonskog Broda (Slavonski Brod, Slavonija);xy.96430;Ambrosia artemisiifolia L.;xy.96430;635494.8855;5002059.0526;50.0000
169297;Gajna, u selu Oprisavci uz rijeku Savu, dvadesetak kilometara istočno od Slavonskog Broda (Slavonski Brod, Slavonija);xy.96434;Ambrosia artemisiifolia L.;xy.96434;634999.4413;5001163.6179;50.0000
169298;Gajna, u selu Oprisavci uz rijeku Savu, dvadesetak kilometara istočno od Slavonskog Broda (Slavonski Brod, Slavonija);xy.96435;Ambrosia artemisiifolia L.;xy.96435;634991.4784;5001380.6794;50.0000
169494;Gajna, u selu Oprisavci uz rijeku Savu, dvadesetak kilometara istočno od Slavonskog Broda (Slavonski Brod, Slavonija);xy.96442;Ambrosia artemisiifolia L.;xy.96442;634773.2657;5000987.8910;50.0000
169495;Gajna, u selu Oprisavci uz rijeku Savu, dvadesetak kilometara istočno od Slavonskog Broda (Slavonski Brod, Slavonija);xy.96443;Ambrosia artemisiifolia L.;xy.96443;635164.8631;5000974.6191;50.0000
165650;istočna Podravina (istočna Hrvatska);xy.96367;Ambrosia artemisiifolia L.;xy.96367;606862.1586;5057893.7336;NULL
168358;Gajna, kanal i depresije uz savski nasip i obala Save, u selu Oprisavci, dvadesetak kilometara istočno od Slavonskog Broda (Slavonski Brod, Slavonija);xy.96414;Ambrosia artemisiifolia L.;xy.96414;634709.5422;5001109.0270;50.0000
168611;Gajna, u selu Oprisavci uz rijeku Savu, dvadesetak kilometara istočno od Slavonskog Broda (Slavonski Brod, Slavonija);xy.96418;Ambrosia artemisiifolia L.;xy.96418;635504.7683;5001461.1080;50.0000
168695;Gajna, u selu Oprisavci uz rijeku Savu, dvadesetak kilometara istočno od Slavonskog Broda (Slavonski Brod, Slavonija);xy.96424;Ambrosia artemisiifolia L.;xy.96424;635271.9662;5000605.7760;50.0000
168722;Gajna, u selu Oprisavci uz rijeku Savu, dvadesetak kilometara istočno od Slavonskog Broda (Slavonski Brod, Slavonija);xy.96425;Ambrosia artemisiifolia L.;xy.96425;635014.7179;5000694.5209;50.0000
168747;Gajna, u selu Oprisavci uz rijeku Savu, dvadesetak kilometara istočno od Slavonskog Broda (Slavonski Brod, Slavonija);xy.96426;Ambrosia artemisiifolia L.;xy.96426;634680.3069;5000826.6826;50.0000
143353;Sesvete (blizu Zagreba), ograda jedne kuće u mjestu (19.11.1964.).;xy.95266;Ambrosia artemisiifolia L.;xy.95266;470335.1521;5076064.9277;NULL
144268;Područje južno od mjesta Premanture (Premantura) do najjužnijeg dijela poluotoka, Rt Kamenjak (Istra) (1995.-1997.);xy.95350;Ambrosia artemisiifolia L.;xy.95350;295188.4727;4963268.5513;NULL
146547;Podravina;xy.95430;Ambrosia artemisiifolia L.;xy.95430;580681.3105;5085323.0629;NULL
148381;Muško Ostrvo (zapadno od Vinkovaca, Vinkovci, istočna Hrvatska, Slavonija), trajna ploha, granica šume i pašnjaka, 87 mnv (1989.);xy.95476;Ambrosia artemisiifolia L.;xy.95476;659446.5695;5013779.3366;50.0000
155708;odušni kanal "Sava-Odra" (Turopolje,  nizinsko područje sjeverne Hrvatske);xy.96213;Ambrosia artemisiifolia L.;xy.96213;453992.6803;5068514.7904;NULL
56259;Uz glavnu cestu od Kapele Koreničke do Borja (Kapela Korenička, Borje, Plitvička jezera, Plitvice, Lika);xy.96219;Ambrosia artemisiifolia L.;xy.96219;435427.6038;4962704.7741;50.0000
128952;Selo Lomnica (Turopolje), kultura kukuruza uz rječicu Lomnicu (11.10.1969.);xy.95093;Ambrosia artemisiifolia L.;xy.95093;462161.2751;5064067.1050;NULL
200020;Drežničko polje, u Malim baricama i Gornjem polju (Male Barice, Gornje polje, Gorski kotar);xy.99074;Ambrosia artemisiifolia L.;xy.99074;390249.9423;5002555.4554;NULL
204316;dolina rijeke Krke (rijeka Krka, sjeverna Dalmacija);xy.99342;Ambrosia artemisiifolia L.;xy.99342;454647.1588;4852059.3521;NULL
204317;dolina rijeke Krke (rijeka Krka, sjeverna Dalmacija);xy.99348;Ambrosia artemisiifolia L.;xy.99348;453746.1390;4853332.8267;NULL
143263;Sesvete (blizu Zagreba), nasip željezničke pruge, nedaleko od željezničke stanice gdje se uglavnom baca smeće iz okolnih kuća (04.09.1964.).;xy.95266;Ambrosia artemisiifolia L.;xy.95266;470335.1521;5076064.9277;NULL
143264;Sesvete (blizu Zagreba), sjenoviti dio nasipa željezničke pruge nedaleko od mjesta (07.11.1964.).;xy.95266;Ambrosia artemisiifolia L.;xy.95266;470335.1521;5076064.9277;NULL
117325;Zmajevac - Batina (Baranja);xy.94501;Ambrosia artemisiifolia L.;xy.94501;681195.1066;5078535.3187;NULL
186262;Zagreb, Jarun, poplavni travnjak na području rekreacijskog centra (središnja Hrvatska);xy.94821;Ambrosia artemisiifolia L.;xy.94821;455381.4301;5070944.0566;25.0000
127484;Lukavec (Turopolje), istočno od šume Veliki Grm, korovi u usjevu raži (15.07.1969);xy.95063;Ambrosia artemisiifolia L.;xy.95063;461087.6877;5062121.0100;NULL
127486;Lukavec (Turopolje), uz sjeverozapadnu stranu ceste Hrašće - Lukovec i puteljka paralelnog sa rječicom Lomnicom ( 28.09.1969.);xy.95067;Ambrosia artemisiifolia L.;xy.95067;460639.4035;5064189.6426;NULL
128951;Markuševec (Turopolje), krumpirište ispod dalekovoda ( 14.09.1969.);xy.95069;Ambrosia artemisiifolia L.;xy.95069;459939.4059;5057735.0235;NULL
127487;Uz zapadnu stranu ceste Obrež - Dragonožec (Turopolje), ispod dalekovoda, korovska sastojina razvijena na strništu raži (14.09.1969);xy.95070;Ambrosia artemisiifolia L.;xy.95070;456719.2182;5060895.7094;NULL
97017;Žitnjak, na savskom otoku južno od sela, uz puteljak koji vodi prema splavi za prevoz u selo Kosnicu, pjeskovito-šljunkovita podloga, veg. snimka veličine 100 m2 i pokrovnosti 60%;xy.93587;Ambrosia artemisiifolia L.;xy.93587;466747.9432;5070423.7449;NULL
97038;Petruševac, istočno od sela, uz cestu koja vodi u selo Žitnjak, niži položaji u području napuštenih šljunčanih jama, veg. snimka veličine 50 m2 i pokrovnosti 60%;xy.93588;Ambrosia artemisiifolia L.;xy.93588;466168.0913;5070434.6248;NULL
100626;Zagreb - Savska cesta, uz ogradu oko zgrade Pedagoške akademije, vegetacijska snimka veličine 30 m2 i pokrovnosti 100%;xy.93838;Ambrosia artemisiifolia L.;xy.93838;458155.3957;5073215.2856;NULL
101555;Kušnatić (JZ od Zagreba) -uz glavni put u sjevernom dijelu zaselka, uz ogradu kuće, vegetacijska snimka veličine 100 m2 i pokrovnosti 100%;xy.93914;Ambrosia artemisiifolia L.;xy.93914;450510.8657;5068710.1180;NULL
117319;Tikveš - Zlatna Greda (Baranja);xy.94498;Ambrosia artemisiifolia L.;xy.94498;684063.1608;5065051.4600;NULL
117320;Žido-pustara (Baranja);xy.94499;Ambrosia artemisiifolia L.;xy.94499;681495.7689;5060057.2717;NULL
88204;u Turopolju nedaleko Selca između sela Stružec i Peščenica (Turopolje, Selce);xy.93135;Ambrosia artemisiifolia L.;xy.93135;478968.8839;5055375.5532;NULL
161864;Gorski Kotar;xy.93169;Ambrosia artemisiifolia L.;xy.93169;390746.3805;5014036.8021;NULL
175780;Zagreb, Savski most, uz rub močvare na desnoj obali rijeke (Sava, središnja Hrvatska);xy.93179;Ambrosia artemisiifolia L.;xy.93179;459712.2946;5072240.9516;50.0000
144672;Strahinščica (Strahinjščica, Hrvatsko zagorje);xy.93504;Ambrosia artemisiifolia L.;xy.93504;453595.1449;5116514.7482;NULL
97131;Kušnatić (selo sjeverozapadno od Lučkog), zapadno od sela, na starom poljskom putu, veg. snimka veličine 38 m2 i pokrovnosti 60%;xy.93570;Ambrosia artemisiifolia L.;xy.93570;450307.9247;5070847.2296;NULL
97168;Kušnatić (selo sjeverozapadno od Lučkog), zapadno od sela, na starom poljskom putu, veg. snimka veličine 38 m2 i pokrovnosti 60%;xy.93570;Ambrosia artemisiifolia L.;xy.93570;450307.9247;5070847.2296;NULL
87864;Zablaće (sjeverna Dalmacija), UTM WJ 64;xy.93073;Ambrosia artemisiifolia L.;xy.93073;449202.7274;4841025.6193;NULL
107201;Zablaće (okolica Šibenika, sjeverna Dalmacija);xy.93073;Ambrosia artemisiifolia L.;xy.93073;449202.7274;4841025.6193;NULL
151181;Baranja, istočna Hrvatska;xy.93122;Ambrosia artemisiifolia L.;xy.93122;673270.5381;5068131.5732;NULL
161863;Baranja, istočna Hrvatska;xy.93122;Ambrosia artemisiifolia L.;xy.93122;673270.5381;5068131.5732;NULL
88181;rijeka Krka;xy.93126;Ambrosia artemisiifolia L.;xy.93126;455675.6492;4865033.1254;NULL
88183;Luke, Murter (plaža Luke, otok Murter, šibenski arhipelag, sjeverna Dalmacija), UTM WJ45;xy.93133;Ambrosia artemisiifolia L.;xy.93133;425525.2843;4854135.5099;NULL
304843;Hrvatska, Novi Dvori, 130 m nadmorske visine;XY.132328;Ambrosia artemisiifolia L.;XY.132328;446688.5496;5082305.8953;25.0000
304873;Hrvatska, Zaprešić, 128 m nadmorske visine;XY.132330;Ambrosia artemisiifolia L.;XY.132330;446894.7113;5078214.3925;25.0000
308628;Medvednica, Vugrovec, uz cestu/put;XY.132898;Ambrosia artemisiifolia L.;XY.132898;469499.4478;5082453.3320;25.0000
186295;Zagreb, Žitnjak, sastojina na obali starog savskog rukava (središnja Hrvatska);xy.92999;Ambrosia artemisiifolia L.;xy.92999;466232.6516;5071796.5461;NULL
161862;Slavonija, istočna Hrvatska;xy.93059;Ambrosia artemisiifolia L.;xy.93059;620094.3709;5036013.3149;NULL
87863;Solaris (hotelsko naselje Solaris, Šibenik - okolica, sjeverna Dalmacija), UTM WJ 73;xy.93062;Ambrosia artemisiifolia L.;xy.93062;450433.9013;4839755.1912;NULL
302615;donji tok rijeke Une (rijeka Una);XY.132216;Ambrosia artemisiifolia L.;XY.132216;498749.0712;5004570.2760;NULL
302616;donji tok rijeke Une (rijeka Una);XY.132217;Ambrosia artemisiifolia L.;XY.132217;498749.8740;5005959.2570;NULL
302617;donji tok rijeke Une (rijeka Una);XY.132220;Ambrosia artemisiifolia L.;XY.132220;497963.2848;5004850.8716;25.0000
302618;donji tok rijeke Une (rijeka Una);XY.132221;Ambrosia artemisiifolia L.;XY.132221;497110.7236;5000404.7015;NULL
302619;donji tok rijeke Une (rijeka Una);XY.132227;Ambrosia artemisiifolia L.;XY.132227;493473.5617;4998134.1890;25.0000
302620;donji tok rijeke Une (rijeka Una);XY.132231;Ambrosia artemisiifolia L.;XY.132231;490551.6727;4994854.3405;NULL
302609;donji tok rijeke Une (rijeka Una);XY.132198;Ambrosia artemisiifolia L.;XY.132198;523296.7472;5006003.1694;NULL
302610;donji tok rijeke Une (rijeka Una);XY.132203;Ambrosia artemisiifolia L.;XY.132203;515615.9870;5007227.8241;25.0000
302611;donji tok rijeke Une (rijeka Una);XY.132205;Ambrosia artemisiifolia L.;XY.132205;513474.6143;5007363.6137;NULL
302612;donji tok rijeke Une (rijeka Una);XY.132206;Ambrosia artemisiifolia L.;XY.132206;512797.0069;5007921.1824;25.0000
302613;donji tok rijeke Une (rijeka Una);XY.132209;Ambrosia artemisiifolia L.;XY.132209;508162.4966;5010090.2537;25.0000
302614;donji tok rijeke Une (rijeka Una);XY.132213;Ambrosia artemisiifolia L.;XY.132213;500898.6196;5009067.3080;25.0000
298942;Rezervat Đurđevački pijesci, vrh sipine, povišeni dio uzvisine, uz sam rub zaraštenog dijela;XY.131937;Ambrosia artemisiifolia L.;XY.131937;546515.9150;5098729.1494;50.0000
298969;Rezervat Đurđevački pijesci, u blizini vrha sipine, s druge strane uzvisine, u potpunosti zarasla;XY.131938;Ambrosia artemisiifolia L.;XY.131938;546591.4657;5098599.7419;50.0000
302605;donji tok rijeke Une (rijeka Una);XY.132186;Ambrosia artemisiifolia L.;XY.132186;528187.1758;5010189.9275;NULL
302606;donji tok rijeke Une (rijeka Una);XY.132188;Ambrosia artemisiifolia L.;XY.132188;528119.2771;5010410.1708;25.0000
302607;donji tok rijeke Une (rijeka Una);XY.132189;Ambrosia artemisiifolia L.;XY.132189;527987.9115;5009959.6528;25.0000
302608;donji tok rijeke Une (rijeka Una);XY.132192;Ambrosia artemisiifolia L.;XY.132192;526563.5484;5007405.3492;NULL
292784;Plešivičko prigorje, naselje Desinec;XY.130885;Ambrosia artemisiifolia L.;XY.130885;438740.1200;5061247.5609;NULL
292787;Plešivičko prigorje, naselje Pribić;XY.130886;Ambrosia artemisiifolia L.;XY.130886;424528.6272;5058593.1972;NULL
292788;Plešivičko prigorje, naselje Volavje;XY.130887;Ambrosia artemisiifolia L.;XY.130887;430543.9713;5057690.3861;NULL
292785;Plešivičko prigorje, naselje Petrovina;XY.130888;Ambrosia artemisiifolia L.;XY.130888;428212.0482;5059802.4773;NULL
294001;Vrgorac, okolica grada;XY.130962;Ambrosia artemisiifolia L.;XY.130962;586426.0315;4805378.9521;25.0000
298933;Rezervat Đurđevački pijesci, vrh sipine, na njenom najvišem i najravnijem dijelu;XY.131936;Ambrosia artemisiifolia L.;XY.131936;546263.4290;5098966.8785;50.0000
291796;Općina Oriovac, voćnjak na OPG-u Ivica Švaganović, na brdu Fišić, na nadmorskoj visini od 210 m;XY.130745;Ambrosia artemisiifolia L.;XY.130745;598885.7327;5004801.9468;25.0000
292540;Podgrađe Podokićko, plato iznad izvora, iza zadnje kuće;XY.130864;Ambrosia artemisiifolia L.;XY.130864;-40770.3118;5566234.5248;25.0000
292565;Kotari, 100 m ispod znaka za Kotari;XY.130870;Ambrosia artemisiifolia L.;XY.130870;-42240.2461;5561724.6019;25.0000
292578;Manja Vas, suhi brdski travnjak;XY.130872;Ambrosia artemisiifolia L.;XY.130872;-40639.5521;5563418.7428;25.0000
292586;Stanište pored ceste, na cesti Manja Vas- Poljanica Podokićka, istočna strana Plešivice (Plešivica);XY.130874;Ambrosia artemisiifolia L.;XY.130874;-40324.1622;5563093.6228;25.0000
292611;Prilipje, južni nagib Plešivica (Plešivica), zasađena zimzelena šuma pored napuštene Plućne bolnice;XY.130878;Ambrosia artemisiifolia L.;XY.130878;-41490.5499;5562098.4838;25.0000
281316;Središnja Hrvatska, grad Sisak, zapadni dio grada, uz Rafineriju nafte Sisak;XY.109031;Ambrosia artemisiifolia L.;XY.109031;493441.2204;5035462.2986;50.0000
278962;Istra, Donji Kamenjak;XY.129334;Ambrosia artemisiifolia L.;XY.129334;295065.0926;4963522.9760;25.0000
288090;Plešivičko prigorje, naselje Črnilovec;XY.130639;Ambrosia artemisiifolia L.;XY.130639;431017.6251;5059642.9038;NULL
288092;Plešivičko prigorje, naselje Jastrebarsko;XY.130641;Ambrosia artemisiifolia L.;XY.130641;433541.9420;5058939.4960;NULL
288094;Plešivičko prigorje, naselje Krašić;XY.130642;Ambrosia artemisiifolia L.;XY.130642;423393.2390;5057624.2436;NULL
292786;Plešivičko prigorje, naselje Krašić;XY.130642;Ambrosia artemisiifolia L.;XY.130642;423393.2390;5057624.2436;NULL
281164;Središnja Hrvatska, grad Sisak, Caprag (Željezara);XY.109025;Ambrosia artemisiifolia L.;XY.109025;490200.6115;5035486.7796;50.0000
281188;Središnja Hrvatska, grad Sisak, Caprag (Željezara);XY.109026;Ambrosia artemisiifolia L.;XY.109026;491011.6656;5035488.6428;50.0000
281243;Središnja Hrvatska, grad Sisak, Caprag (Željezara);XY.109027;Ambrosia artemisiifolia L.;XY.109027;490187.6825;5034794.0036;50.0000
281261;Središnja Hrvatska, grad Sisak, Caprag (Željezara);XY.109028;Ambrosia artemisiifolia L.;XY.109028;490998.4194;5034778.8739;50.0000
281299;Središnja Hrvatska, grad Sisak, zapadni dio grada, uz Rafineriju nafte Sisak;XY.109029;Ambrosia artemisiifolia L.;XY.109029;492643.2983;5035467.1906;50.0000
281278;Središnja Hrvatska, grad Sisak, zapadni dio grada, uz Rafineriju nafte Sisak;XY.109030;Ambrosia artemisiifolia L.;XY.109030;493454.6546;5036182.0591;50.0000
281070;Središnja Hrvatska, grad Sisak, južni dio grada, Viktorovac;XY.109019;Ambrosia artemisiifolia L.;XY.109019;489377.6992;5036189.1570;50.0000
281037;Središnja Hrvatska, grad Sisak, južni dio grada, Viktorovac;XY.109020;Ambrosia artemisiifolia L.;XY.109020;490193.6897;5036883.9438;50.0000
281091;Središnja Hrvatska, grad Sisak, južni dio grada, Viktorovac;XY.109021;Ambrosia artemisiifolia L.;XY.109021;490197.3605;5036169.8574;50.0000
281125;Središnja Hrvatska, grad Sisak, južni dio grada, Viktorovac;XY.109022;Ambrosia artemisiifolia L.;XY.109022;491031.5004;5036176.2882;50.0000
281142;Središnja Hrvatska, grad Sisak, Caprag (Željezara);XY.109023;Ambrosia artemisiifolia L.;XY.109023;489391.1257;5035461.8865;50.0000
281223;Središnja Hrvatska, grad Sisak, Caprag (Željezara);XY.109024;Ambrosia artemisiifolia L.;XY.109024;489378.2900;5034774.1073;50.0000
280929;Središnja Hrvatska, grad Sisak, istočni dio grada, Tomićev put;XY.109013;Ambrosia artemisiifolia L.;XY.109013;491819.0925;5038242.6298;50.0000
280982;Središnja Hrvatska, grad Sisak, središnji dio grada, Vrbina;XY.109014;Ambrosia artemisiifolia L.;XY.109014;490193.5338;5037571.9641;50.0000
281052;Središnja Hrvatska, grad Sisak, istočni dio grada, Stari grad;XY.109015;Ambrosia artemisiifolia L.;XY.109015;491040.4895;5036872.1361;50.0000
280942;Središnja Hrvatska, grad Sisak, zapadni dio grada, Zibel;XY.109016;Ambrosia artemisiifolia L.;XY.109016;488578.8840;5037593.1088;50.0000
280963;Središnja Hrvatska, grad Sisak, zapadni dio grada, Zibel;XY.109017;Ambrosia artemisiifolia L.;XY.109017;489394.6231;5037577.8792;50.0000
281020;Središnja Hrvatska, grad Sisak, zapadni dio grada, Zibel;XY.109018;Ambrosia artemisiifolia L.;XY.109018;489386.6137;5036881.0096;50.0000
280831;Središnja Hrvatska, grad Sisak, centar grada;XY.109007;Ambrosia artemisiifolia L.;XY.109007;490183.4160;5038958.1880;50.0000
280903;Središnja Hrvatska, grad Sisak, centar grada;XY.109008;Ambrosia artemisiifolia L.;XY.109008;490197.7886;5038281.9025;50.0000
280841;Središnja Hrvatska, grad Sisak, istočni dio grada, Tomićev put;XY.109009;Ambrosia artemisiifolia L.;XY.109009;491026.5532;5038964.4441;50.0000
280854;Središnja Hrvatska, grad Sisak, istočni dio grada, Tomićev put;XY.109010;Ambrosia artemisiifolia L.;XY.109010;491832.7192;5038972.3904;50.0000
280917;Središnja Hrvatska, grad Sisak, istočni dio grada, Tomićev put;XY.109011;Ambrosia artemisiifolia L.;XY.109011;490995.4364;5038262.0090;50.0000
280998;Središnja Hrvatska, grad Sisak, istočni dio grada, Tomićev put;XY.109012;Ambrosia artemisiifolia L.;XY.109012;491022.3395;5037560.4906;50.0000
280758;Središnja Hrvatska, grad Sisak, sjeverni dio grada, Zeleni brijeg;XY.109000;Ambrosia artemisiifolia L.;XY.109000;490209.2745;5039646.7226;50.0000
280777;Središnja Hrvatska, grad Sisak, sjeverni dio grada, Zeleni brijeg;XY.109001;Ambrosia artemisiifolia L.;XY.109001;490998.9248;5039626.9753;50.0000
280788;Središnja Hrvatska, grad Sisak, zapadni dio grada, Pogorelac;XY.109002;Ambrosia artemisiifolia L.;XY.109002;488582.2764;5038953.0861;50.0000
280809;Središnja Hrvatska, grad Sisak, zapadni dio grada, Pogorelac;XY.109003;Ambrosia artemisiifolia L.;XY.109003;489372.4345;5038960.3317;50.0000
280863;Središnja Hrvatska, grad Sisak, zapadni dio grada, Pogorelac;XY.109004;Ambrosia artemisiifolia L.;XY.109004;488592.1360;5038302.8826;50.0000
280885;Središnja Hrvatska, grad Sisak, zapadni dio grada, Pogorelac;XY.109005;Ambrosia artemisiifolia L.;XY.109005;489385.3035;5038257.0719;50.0000
280684;Središnja Hrvatska, grad Sisak, sjeverni dio grada, Zeleni brijeg;XY.108994;Ambrosia artemisiifolia L.;XY.108994;488577.1063;5040336.2243;50.0000
280693;Središnja Hrvatska, grad Sisak, sjeverni dio grada, Zeleni brijeg;XY.108995;Ambrosia artemisiifolia L.;XY.108995;489398.2546;5040342.8878;50.0000
